,Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
count,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
mean,29.6,73.85217391304347,36.28695652173913,2925.487826086957,27.739130434782613,377.2539130434783,2022.8408695652174,497.6365217391305,218.10086956521738,439.8017391304349,0.1391304347826087
std,1.1223409120258505,2.947623122916513,4.330157846057955,422.1121930656663,22.3610316416602,151.09184977319958,386.25439687400376,129.8606428029643,62.54759707472398,210.43881261924574,0.3475971786810162
min,28.0,70.0,30.0,2068.8,0.3,89.9,1104.3,166.6,65.60000000000001,34.19999999999999,0.0
25%,29.0,71.0,32.5,2627.8999999999996,10.25,276.75,1768.85,407.45,179.66666666666669,295.0000000000001,0.0
50%,30.0,74.0,36.0,2937.5,20.5,342.0,1948.7,501.5,211.0333333333333,430.6,0.0
75%,31.0,76.0,40.0,3164.1,41.6,442.29999999999995,2242.8999999999996,584.55,263.8333333333333,577.6500000000001,0.0
max,31.0,79.0,44.0,4257.8,98.1,915.2,3451.3,823.3,366.0666666666667,982.7,1.0
